Time_Seconds,Time_Hours,Discharge_m3s
0.0,0.0,0.0
29.09,0.0081,369.1
58.18,0.0162,740.54
87.27,0.0242,1114.21
116.36,0.0323,1489.97
145.45,0.0404,1867.72
174.54,0.0485,2247.34
203.63,0.0566,2628.69
232.72,0.0646,3011.67
261.81,0.0727,3396.15
290.9,0.0808,3782.02
319.99,0.0889,4169.15
349.08,0.097,4557.43
378.17,0.105,4946.73
407.26,0.1131,5336.93
436.35,0.1212,5727.92
465.44,0.1293,6119.58
494.53,0.1374,6511.78
523.62,0.1454,6904.41
552.71,0.1535,7297.34
581.8,0.1616,7690.46
610.89,0.1697,8083.65
639.97,0.1778,8476.78
669.06,0.1859,8869.74
698.15,0.1939,9262.41
727.24,0.202,9654.67
756.33,0.2101,10046.39
785.42,0.2182,10437.47
814.51,0.2263,10827.77
843.6,0.2343,11217.18
872.69,0.2424,11605.57
901.78,0.2505,11992.84
930.87,0.2586,12378.86
959.96,0.2667,12763.5
989.05,0.2747,13146.66
1018.14,0.2828,13528.21
1047.23,0.2909,13908.03
1076.32,0.299,14285.99
1105.41,0.3071,14661.99
1134.5,0.3151,15035.9
1163.59,0.3232,15407.6
1192.68,0.3313,15776.98
1221.77,0.3394,16143.9
1250.86,0.3475,16508.26
1279.95,0.3555,16869.93
1309.04,0.3636,17228.79
1338.13,0.3717,17584.72
1367.22,0.3798,17937.61
1396.31,0.3879,18287.33
1425.4,0.3959,18633.77
1454.49,0.404,18976.8
1483.58,0.4121,19316.3
1512.67,0.4202,19652.16
1541.76,0.4283,19984.25
1570.85,0.4363,20312.46
1599.94,0.4444,20636.66
1629.03,0.4525,20956.74
1658.12,0.4606,21272.57
1687.21,0.4687,21584.04
1716.3,0.4767,21891.03
1745.39,0.4848,22193.41
1774.48,0.4929,22491.07
1803.57,0.501,22783.88
1832.66,0.5091,23071.73
1861.74,0.5172,23354.5
1890.83,0.5252,23632.07
1919.92,0.5333,23904.32
1949.01,0.5414,24171.12
1978.1,0.5495,24432.36
2007.19,0.5576,24687.92
2036.28,0.5656,24937.68
2065.37,0.5737,25181.52
2094.46,0.5818,25419.32
2123.55,0.5899,25650.95
2152.64,0.598,25876.31
2181.73,0.606,26095.27
2210.82,0.6141,26307.71
2239.91,0.6222,26513.5
2269.0,0.6303,26712.54
2298.09,0.6384,26904.7
2327.18,0.6464,27089.87
2356.27,0.6545,27267.91
2385.36,0.6626,27438.71
2414.45,0.6707,27602.16
2443.54,0.6788,27758.13
2472.63,0.6868,27906.5
2501.72,0.6949,28047.16
2530.81,0.703,28179.98
2559.9,0.7111,28304.84
2588.99,0.7192,28421.62
2618.08,0.7272,28530.2
2647.17,0.7353,28630.28
2676.26,0.7434,28721.33
2705.35,0.7515,28802.83
2734.44,0.7596,28874.26
2763.53,0.7676,28935.1
2792.62,0.7757,28984.81
2821.71,0.7838,29022.87
2850.8,0.7919,29048.77
2879.89,0.8,29061.97
2908.98,0.808,29061.97
2938.07,0.8161,29048.77
2967.16,0.8242,29022.87
2996.25,0.8323,28984.81
3025.34,0.8404,28935.1
3054.43,0.8485,28874.26
3083.51,0.8565,28802.83
3112.6,0.8646,28721.33
3141.69,0.8727,28630.28
3170.78,0.8808,28530.2
3199.87,0.8889,28421.62
3228.96,0.8969,28304.84
3258.05,0.905,28179.98
3287.14,0.9131,28047.16
3316.23,0.9212,27906.5
3345.32,0.9293,27758.13
3374.41,0.9373,27602.16
3403.5,0.9454,27438.71
3432.59,0.9535,27267.91
3461.68,0.9616,27089.87
3490.77,0.9697,26904.7
3519.86,0.9777,26712.54
3548.95,0.9858,26513.5
3578.04,0.9939,26307.71
3607.13,1.002,26095.27
3636.22,1.0101,25876.31
3665.31,1.0181,25650.95
3694.4,1.0262,25419.32
3723.49,1.0343,25181.52
3752.58,1.0424,24937.68
3781.67,1.0505,24687.92
3810.76,1.0585,24432.36
3839.85,1.0666,24171.12
3868.94,1.0747,23904.32
3898.03,1.0828,23632.07
3927.12,1.0909,23354.5
3956.21,1.0989,23071.73
3985.3,1.107,22783.88
4014.39,1.1151,22491.07
4043.48,1.1232,22193.41
4072.57,1.1313,21891.03
4101.66,1.1393,21584.04
4130.75,1.1474,21272.57
4159.84,1.1555,20956.74
4188.93,1.1636,20636.66
4218.02,1.1717,20312.46
4247.11,1.1798,19984.25
4276.2,1.1878,19652.16
4305.28,1.1959,19316.3
4334.37,1.204,18976.8
4363.46,1.2121,18633.77
4392.55,1.2202,18287.33
4421.64,1.2282,17937.61
4450.73,1.2363,17584.72
4479.82,1.2444,17228.79
4508.91,1.2525,16869.93
4538.0,1.2606,16508.26
4567.09,1.2686,16143.9
4596.18,1.2767,15776.98
4625.27,1.2848,15407.6
4654.36,1.2929,15035.9
4683.45,1.301,14661.99
4712.54,1.309,14285.99
4741.63,1.3171,13908.03
4770.72,1.3252,13528.21
4799.81,1.3333,13146.66
4828.9,1.3414,12763.5
4857.99,1.3494,12378.86
4887.08,1.3575,11992.84
4916.17,1.3656,11605.57
4945.26,1.3737,11217.18
4974.35,1.3818,10827.77
5003.44,1.3898,10437.47
5032.53,1.3979,10046.39
5061.62,1.406,9654.67
5090.71,1.4141,9262.41
5119.8,1.4222,8869.74
5148.89,1.4302,8476.78
5177.98,1.4383,8083.65
5207.07,1.4464,7690.46
5236.16,1.4545,7297.34
5265.25,1.4626,6904.41
5294.34,1.4706,6511.78
5323.43,1.4787,6119.58
5352.52,1.4868,5727.92
5381.61,1.4949,5336.93
5410.7,1.503,4946.73
5439.79,1.5111,4557.43
5468.88,1.5191,4169.15
5497.97,1.5272,3782.02
5527.06,1.5353,3396.15
5556.14,1.5434,3011.67
5585.23,1.5515,2628.69
5614.32,1.5595,2247.34
5643.41,1.5676,1867.72
5672.5,1.5757,1489.97
5701.59,1.5838,1114.21
5730.68,1.5919,740.54
5759.77,1.5999,369.1
5788.86,1.608,0.0
